City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
Ati,13.2154,18.3353,37.82,15,73,0.91,TD,1620926637
Skibbereen,51.55,-9.2667,16.22,75,76,4.27,IE,1620926637
Hātā,26.7461,83.7403,26.6,59,5,2.98,IN,1620926637
Alofi,-19.0595,-169.9187,23.92,94,48,3.09,NU,1620926638
Dhidhdhoo,6.8833,73.1,29.33,77,100,13.31,MV,1620926638
Bogandinskiy,56.8937,65.8938,22.02,60,33,1.12,RU,1620926638
Gardner,42.5751,-71.9981,19.49,33,42,3.65,US,1620926638
Rosário Oeste,-14.8361,-56.4275,30.36,44,63,1.35,BR,1620926639
Bathsheba,13.2167,-59.5167,31.1,69,75,7.46,BB,1620926639
Bonavista,48.6499,-53.1147,9.69,77,99,5.82,CA,1620926639
Ovsyanka,55.9575,92.5519,8.83,51,2,1.41,RU,1620926640
Keetmanshoop,-26.5833,18.1333,39.37,21,0,3.09,NA,1620926640
Grand Gaube,-20.0064,57.6608,26.12,77,21,0.89,MU,1620926641
Escanaba,45.7453,-87.0646,22.6,58,1,4.63,US,1620926641
Aras,42.5617,-2.356,18.89,81,75,4.64,ES,1620926642
Molteno,-31.3968,26.3625,14.12,34,0,4.12,ZA,1620926642
Oussouye,12.485,-16.5469,35.42,54,36,6.08,SN,1620926642
Fortuna,40.5982,-124.1573,11.36,100,90,0.0,US,1620926419
Mount Gambier,-37.8333,140.7667,10.92,76,40,5.14,AU,1620926643
Meulaboh,4.1363,96.1285,24.92,93,100,2.65,ID,1620926643
Dakar,14.6937,-17.4441,33.8,79,12,5.09,SN,1620926101
Manzanares,38.9991,-3.3699,20.86,45,82,8.71,ES,1620926643
Murindó,6.9848,-76.7544,30.77,71,100,0.71,CO,1620926644
Nurobod,40.9056,69.8023,24.93,49,34,1.46,UZ,1620926644
Pitimbu,-7.4706,-34.8086,25.32,86,100,3.94,BR,1620926644
Constitución,-35.3333,-72.4167,17.52,43,100,1.22,CL,1620926645
Novoagansk,61.9449,76.6625,3.43,55,25,4.79,RU,1620926645
Port Macquarie,-31.4333,152.9167,12.18,74,0,3.37,AU,1620926645
George,-33.963,22.4617,16.71,88,20,3.09,ZA,1620926646
Takoradze,4.8845,-1.7554,29.1,67,5,5.97,GH,1620926646
Beloha,-25.1667,45.05,20.93,93,1,4.33,MG,1620926646
Jiangyou,31.7667,104.7167,20.96,80,83,1.23,CN,1620926465
Omsukchan,62.5333,155.8,-5.8,98,97,3.03,RU,1620926647
Carutapera,-1.195,-46.02,28.77,72,68,2.55,BR,1620926647
Port Hawkesbury,45.6169,-61.3485,12.73,59,59,4.02,CA,1620926647
Kaeo,-35.1,173.7833,8.51,80,100,1.43,NZ,1620926648
Dubai,25.2582,55.3047,32.16,51,0,3.09,AE,1620926382
Zhigansk,66.7697,123.3711,1.02,72,100,3.95,RU,1620926648
Zhangjiakou,40.81,114.8794,17.73,64,82,4.03,CN,1620926648
Abhā,18.2164,42.5053,22.36,37,42,1.57,SA,1620926649
Srīvardhan,18.0333,73.0167,28.86,69,100,3.57,IN,1620926649
Sioux Lookout,50.1001,-91.917,27.37,21,75,3.6,CA,1620926649
Tilichiki,60.4667,166.1,-2.98,89,98,3.13,RU,1620926650
Muravlenko,63.7898,74.523,2.11,59,8,4.72,RU,1620926650
Prado,-17.3411,-39.2208,27.13,58,78,4.19,BR,1620926650
Dzhebariki-Khaya,62.2167,135.8,0.9,80,29,2.05,RU,1620926651
Zhigalovo,54.8097,105.1578,0.21,87,10,1.43,RU,1620926651
San Jerónimo,-11.9472,-75.2829,13.01,58,65,1.09,PE,1620926651
Blackwater,-23.5833,148.8833,15.24,42,0,3.71,AU,1620926652
Praia da Vitória,38.7333,-27.0667,21.97,73,20,2.4,PT,1620926652
Verkh-Usugli,52.7,115.1667,1.62,92,63,2.26,RU,1620926652
Sisimiut,66.9395,-53.6735,2.63,70,43,3.21,GL,1620926652
Banjar,-8.19,114.9675,26.99,88,95,1.72,ID,1620926653
Vestmanna,62.1564,-7.1664,7.67,77,75,8.57,FO,1620926653
Mattawa,46.7379,-119.9028,24.63,43,73,1.2,US,1620926653
Trairi,-3.2778,-39.2689,28.04,75,98,3.59,BR,1620926566
Ucar,40.519,47.6542,20.2,43,40,2.36,AZ,1620926654
San Andrés,12.5847,-81.7006,30.09,79,75,5.66,CO,1620926654
Ferrol,43.4832,-8.2369,14.88,80,97,2.82,ES,1620926654
Sussex,41.1834,-74.6663,21.49,25,1,3.09,US,1620926655
Tabou,4.423,-7.3528,28.65,65,7,4.24,CI,1620926655
Salinópolis,-0.6136,-47.3561,28.18,74,81,1.63,BR,1620926655
Christchurch,-43.5333,172.6333,9.95,85,2,3.13,NZ,1620926392
Taloqan,36.7361,69.5345,20.01,46,2,1.92,AF,1620926656
Aden,12.7794,45.0367,31.54,61,28,2.36,YE,1620926656
Kazachinskoye,57.6953,93.2761,6.97,60,6,2.44,RU,1620926656
Caramay,10.1815,119.236,26.72,82,64,1.12,PH,1620926657
Paoua,7.2427,16.4406,28.92,47,94,1.64,CF,1620926657
Guilin,25.2819,110.2864,27.69,97,14,0.41,CN,1620926657
Xambioá,-6.4111,-48.5364,30.01,58,24,2.66,BR,1620926657
Bariloche,-41.1456,-71.3082,25.42,56,20,2.7,AR,1620926658
Turbat,26.0023,63.044,32.73,38,19,0.75,PK,1620926658
Cherëmukhovo,60.3484,59.9851,18.14,58,66,2.16,RU,1620926658
Hofn,64.2539,-15.2082,3.68,64,100,3.97,IS,1620926659
Leticia,-4.2153,-69.9406,30.29,70,40,1.03,CO,1620926659
Karasjok,69.4719,25.5112,2.19,92,100,5.03,NO,1620926659
Kindu,-2.95,25.95,24.14,75,18,1.52,CD,1620926660
Sarakhs,36.5449,61.1577,29.36,23,0,2.06,IR,1620926660
Maniitsoq,65.4167,-52.9,2.42,59,31,2.31,GL,1620926660
Acajutla,13.5928,-89.8275,33.22,65,97,2.9,SV,1620926479
Mahajanga,-15.7167,46.3167,26.45,83,40,2.06,MG,1620926661
Brasília,-15.7797,-47.9297,41.32,41,75,3.09,BR,1620926405
São Geraldo do Araguaia,-6.4006,-48.555,30.06,58,25,2.66,BR,1620926662
San Francisco,37.7749,-122.4194,22.41,93,20,2.24,US,1620926397
Vincennes,48.85,2.4333,17.41,66,75,3.95,FR,1620926662
Cayenne,4.9333,-52.3333,30.14,79,75,3.13,GF,1620926662
Kundiawa,-6.0167,144.9667,17.13,97,96,0.91,PG,1620926663
Tsimmerbude,54.675,20.1347,15.25,80,44,5.66,RU,1620926663
Loknya,56.83,30.1467,10.39,95,87,3.1,RU,1620926663
Myanaung,18.2833,95.3167,30.35,56,42,1.45,MM,1620926664
Tautira,-17.7333,-149.15,25.03,79,98,9.18,PF,1620926664
Oktyabr'skoye,43.0645,44.7417,24.66,77,40,1.23,RU,1620926664
Santa Isabel,-23.3156,-46.2214,30.79,77,92,3.49,BR,1620926665
Livingston,55.9029,-3.5226,12.11,85,90,3.84,GB,1620926377
Kindersley,51.4668,-109.1682,29.31,22,75,2.06,CA,1620926665
Lovington,32.944,-103.3485,17.24,59,78,1.34,US,1620926665
Marathon,44.9,-89.7668,26.27,23,40,1.34,US,1620926666
Bacolod City,10.6667,122.95,26.94,77,11,3.63,PH,1620926666
Ericeira,38.9627,-9.4156,19.23,82,64,7.28,PT,1620926666
Xinmin,41.9908,122.8253,17.06,81,19,3.5,CN,1620926667
Indianola,41.3581,-93.5574,22.0,31,26,4.09,US,1620926667
Honiara,-9.4333,159.95,24.89,83,21,1.25,SB,1620926667
Batemans Bay,-35.7167,150.1833,14.0,73,0,2.38,AU,1620926667
Biltine,14.5333,20.9167,36.86,7,7,4.06,TD,1620926668
Zuya,45.0531,34.3154,13.65,61,30,1.59,UA,1620926668
Qixingtai,30.4135,111.8874,21.64,96,96,0.8,CN,1620926668
Coquimbo,-29.9533,-71.3436,21.04,66,0,4.21,CL,1620926516
Chupa,66.27,33.0549,16.85,67,87,2.09,RU,1620926669
Deputatsky,69.3,139.9,-15.97,97,15,2.32,RU,1620926463
Dhārchula,29.85,80.5333,16.72,79,95,1.61,IN,1620926669
Aktash,50.3,87.7333,-3.38,88,71,1.4,RU,1620926670
Laguna,38.421,-121.4238,32.46,56,1,1.79,US,1620926670
Bibiani,6.4635,-2.3194,34.05,42,99,1.42,GH,1620926670
Abalak,58.1286,68.5944,12.86,55,16,2.36,RU,1620926670
Sidmouth,50.6909,-3.2397,13.12,92,98,7.22,GB,1620926671
Charleston,32.7766,-79.9309,20.57,61,1,2.24,US,1620926424
Mayumba,-3.432,10.6554,27.14,84,43,2.74,GA,1620926671
Atbasar,51.8,68.3333,18.23,48,28,4.05,KZ,1620926671
Opuwo,-18.0607,13.84,21.11,25,1,3.61,NA,1620926672
Haldwani,29.2167,79.5167,23.28,59,1,2.87,IN,1620926672
Abu Samrah,35.3029,37.1841,24.75,33,75,4.88,SY,1620926672
Yasothon,15.75,104.1333,31.13,66,53,2.62,TH,1620926673
Bowen,-20.0167,148.2333,20.51,87,68,3.09,AU,1620926673
Am Timan,11.0297,20.2827,33.15,32,54,3.84,TD,1620926673
Vila Velha,-20.3297,-40.2925,27.2,66,20,6.26,BR,1620926674
Mackay,-21.15,149.2,20.38,100,0,3.6,AU,1620926674
Broken Hill,-31.95,141.4333,15.2,76,90,4.12,AU,1620926674
Tazovsky,67.4667,78.7,-3.51,92,20,6.23,RU,1620926675
Skjervøy,70.0311,20.9714,2.86,80,100,6.74,NO,1620926675
Mocuba,-16.8392,36.9856,19.01,97,46,1.77,MZ,1620926675
Andenes,69.3143,16.1194,5.04,87,90,14.92,NO,1620926675
Teknāf,20.8624,92.3058,26.92,83,67,1.74,BD,1620926676
Kuusamo,65.9667,29.1833,24.93,37,0,1.54,FI,1620926676
Byron Bay,-28.65,153.6167,12.71,68,0,4.16,AU,1620926493
Belmonte,-15.8631,-38.8828,29.06,57,41,3.86,BR,1620926676
Qasigiannguit,68.8193,-51.1922,2.53,66,30,1.2,GL,1620926677
Zwedru,6.0667,-8.1281,30.24,60,51,2.05,LR,1620926473
Matagami,49.7502,-77.6328,23.28,37,40,5.0,CA,1620926677
Kawambwa,-9.7915,29.0791,17.16,71,11,1.32,ZM,1620926677
Kupang,-10.1667,123.5833,25.98,73,26,5.64,ID,1620926656
Awjilah,29.1081,21.2869,33.61,12,0,3.94,LY,1620926451
Ambilobe,-13.2,49.05,23.33,84,100,1.17,MG,1620926542
Great Falls,47.5002,-111.3008,17.04,45,1,1.34,US,1620926400
Seymchan,62.8833,152.4333,0.56,99,100,1.32,RU,1620926678
Praia,14.9215,-23.5087,30.35,45,0,7.2,CV,1620926678
Warwick,41.7001,-71.4162,21.07,30,75,1.54,US,1620926404
Obo,5.3998,26.4869,23.02,87,87,0.35,CF,1620926679
Nantucket,41.2835,-70.0995,18.42,42,1,5.14,US,1620926472
Tarpon Springs,28.1461,-82.7568,27.97,78,90,2.68,US,1620926679
Muros,42.7762,-9.0603,16.24,78,76,5.44,ES,1620926679
Bouaké,7.6895,-5.0218,35.67,62,20,2.06,CI,1620926680
Radeberg,51.1167,13.9167,11.56,98,100,5.11,DE,1620926680
Arrondissement du Havre,49.5833,0.3333,16.62,85,90,5.15,FR,1620926680
Kathmandu,27.7167,85.3167,35.95,94,20,1.54,NP,1620926505
Pidhorodne,48.5753,35.1068,18.76,56,98,0.7,UA,1620926681
Antúnez,19.0167,-102.2,54.7,54,99,1.0,MX,1620926681
Lieksa,63.3167,30.0167,15.84,63,52,1.35,FI,1620926681
Hévíz,46.7903,17.1841,16.08,91,0,2.0,HU,1620926681
Hobyo,5.3505,48.5268,28.09,78,37,10.54,SO,1620926682
Saskylakh,71.9167,114.0833,-6.08,96,99,2.18,RU,1620926682
Asola,45.2211,10.4136,21.3,76,14,3.22,IT,1620926682
Teahupoo,-17.8333,-149.2667,22.0,80,98,9.01,PF,1620926683
Namatanai,-3.6667,152.4333,26.48,83,4,2.95,PG,1620926482
Agüimes,27.9054,-15.4461,21.68,76,20,11.83,ES,1620926683
Dingzhou,38.5131,114.9956,20.12,72,9,4.7,CN,1620926407
Sault Ste. Marie,46.5168,-84.3333,22.39,24,1,1.54,CA,1620926683
Praxédis Guerrero,31.3667,-106.0167,41.68,37,0,5.21,MX,1620926684
Keningau,5.3378,116.1602,25.25,99,100,0.45,MY,1620926684
Gouré,13.9835,10.2704,38.9,10,16,5.36,NE,1620926526
Kissidougou,9.1848,-10.0999,33.03,42,25,1.95,GN,1620926685
Bilma,18.6853,12.9164,39.59,7,16,1.6,NE,1620926685
Mto wa Mbu,-3.35,35.85,21.27,79,88,0.4,TZ,1620926685
Taoudenni,22.6783,-3.9836,41.2,4,0,4.6,ML,1620926427
Port Hedland,-20.3167,118.5667,21.18,73,3,3.6,AU,1620926686
Truro,50.2653,-5.0544,14.64,80,40,7.14,GB,1620926543
Krasnosel'kup,65.7,82.4667,-0.3,80,100,13.5,RU,1620926686
Tarazá,7.5836,-75.4007,33.14,53,98,1.67,CO,1620926686
Kabare,-2.4683,28.8242,17.55,95,90,0.83,CD,1620926687
Rantepao,-2.9701,119.8978,19.91,97,99,0.64,ID,1620926660
Lorengau,-2.0226,147.2712,27.68,80,21,3.96,PG,1620926446
Altamira,-3.2033,-52.2064,32.74,62,40,2.57,BR,1620926687
Boyolangu,-8.1181,111.8935,24.43,90,100,1.3,ID,1620926687
Vila Franca do Campo,37.7167,-25.4333,20.51,66,65,3.98,PT,1620926688
Horn Lake,34.9554,-90.0348,21.62,32,1,4.92,US,1620926408
Puerto Quijarro,-17.7833,-57.7667,29.35,39,99,1.15,BO,1620926688
Altea,38.5989,-0.0514,28.04,91,27,5.78,ES,1620926688
Senno,59.5336,33.9167,16.34,60,16,1.87,RU,1620926689
